NAME,FIELD_NUMBER,LENGTH,WIDTH,LATITUDE,LONGITUDE,LOCATION,Geometry Point
Michael Strembitsky,2,150,90,53.414144136983914,-113.46328689533983,"(53.414144136983914, -113.46328689533983)",POINT (-113.46328689533983 53.414144136983914)
Lymburn,3,240,150,53.50714672520339,-113.64471124269318,"(53.50714672520339, -113.64471124269318)",POINT (-113.64471124269318 53.50714672520339)
St. Francis of Assisi,1,240,160,53.58990753402876,-113.44478435623667,"(53.58990753402876, -113.44478435623667)",POINT (-113.44478435623667 53.58990753402876)
Lee Ridge,1,150,90,53.47082982191183,-113.44545377762643,"(53.47082982191183, -113.44545377762643)",POINT (-113.44545377762643 53.47082982191183)
Glenora,1,220,105,53.54480879124771,-113.55501467012867,"(53.54480879124771, -113.55501467012867)",POINT (-113.55501467012867 53.54480879124771)
Dovercourt,1,150,90,53.575864707354604,-113.5604379719932,"(53.575864707354604, -113.5604379719932)",POINT (-113.5604379719932 53.575864707354604)
Bannerman,2,190,120,53.604446044148766,-113.38002681365906,"(53.604446044148766, -113.38002681365906)",POINT (-113.38002681365906 53.604446044148766)
McQueen,2,180,110,53.55527093930366,-113.5702191377373,"(53.55527093930366, -113.5702191377373)",POINT (-113.5702191377373 53.55527093930366)
Edmonton Minor Soccer Association,1,330,210,53.43028537731431,-113.40830099016745,"(53.43028537731431, -113.40830099016745)",POINT (-113.40830099016745 53.43028537731431)
Earl Buxton,4,180,160,53.474390281525274,-113.5848165043132,"(53.474390281525274, -113.5848165043132)",POINT (-113.5848165043132 53.474390281525274)
James McCrie Douglas,2,330,210,53.43971723273151,-113.61575564128914,"(53.43971723273151, -113.61575564128914)",POINT (-113.61575564128914 53.43971723273151)
Blue Quill,4,270,160,53.45914110201797,-113.52437576948945,"(53.45914110201797, -113.52437576948945)",POINT (-113.52437576948945 53.45914110201797)
Donald R. Getty,1,330,210,53.40335590374132,-113.5854597790805,"(53.40335590374132, -113.5854597790805)",POINT (-113.5854597790805 53.40335590374132)
Elsinore,4,180,100,53.642276560630044,-113.50838298102308,"(53.642276560630044, -113.50838298102308)",POINT (-113.50838298102308 53.642276560630044)
Brintnell,3,180,100,53.61990115208166,-113.40676655239153,"(53.61990115208166, -113.40676655239153)",POINT (-113.40676655239153 53.61990115208166)
Ste. Jeanne D'Arc,1,160,90,53.520916280207956,-113.4299125926284,"(53.520916280207956, -113.4299125926284)",POINT (-113.4299125926284 53.520916280207956)
Meyokumin,1,240,210,53.4484397595003,-113.42829646072072,"(53.4484397595003, -113.42829646072072)",POINT (-113.42829646072072 53.4484397595003)
Holy Cross,2,185,100,53.54774544565282,-113.58081853350774,"(53.54774544565282, -113.58081853350774)",POINT (-113.58081853350774 53.54774544565282)
Club Soccer,6,330,210,53.425861386568926,-113.41408914762462,"(53.425861386568926, -113.41408914762462)",POINT (-113.41408914762462 53.425861386568926)
Aldergrove,2,330,180,53.51869391364259,-113.63334381515112,"(53.51869391364259, -113.63334381515112)",POINT (-113.63334381515112 53.51869391364259)
ME Lazerte,4,330,210,53.60866719538679,-113.44811190326199,"(53.60866719538679, -113.44811190326199)",POINT (-113.44811190326199 53.60866719538679)
Skyrattler,1,240,120,53.45159803351241,-113.52147346988646,"(53.45159803351241, -113.52147346988646)",POINT (-113.52147346988646 53.45159803351241)
Forest Heights,2,180,90,53.54419091173814,-113.45380842582134,"(53.54419091173814, -113.45380842582134)",POINT (-113.45380842582134 53.54419091173814)
St. Lucy,1,180,100,53.62463533430141,-113.52787712208293,"(53.62463533430141, -113.52787712208293)",POINT (-113.52787712208293 53.62463533430141)
Avonmore,1,180,110,53.510588894364425,-113.44957824724692,"(53.510588894364425, -113.44957824724692)",POINT (-113.44957824724692 53.510588894364425)
Glenridding Area Park 1,1,300,160,53.420875009106375,-113.6041824723085,"(53.420875009106375, -113.6041824723085)",POINT (-113.6041824723085 53.420875009106375)
St. Gerard,1,285,110,53.5813402617202,-113.46933789368389,"(53.5813402617202, -113.46933789368389)",POINT (-113.46933789368389 53.5813402617202)
Monsignor Fee Otterson,1,300,190,53.41748374607247,-113.51970493707339,"(53.41748374607247, -113.51970493707339)",POINT (-113.51970493707339 53.41748374607247)
Capilano,1,240,150,53.55419782064003,-113.4222248376383,"(53.55419782064003, -113.4222248376383)",POINT (-113.4222248376383 53.55419782064003)
Belmont,3,180,95,53.59445782109981,-113.39288949766475,"(53.59445782109981, -113.39288949766475)",POINT (-113.39288949766475 53.59445782109981)
Silver Berry E,5,240,180,53.45769880461949,-113.37842440336559,"(53.45769880461949, -113.37842440336559)",POINT (-113.37842440336559 53.45769880461949)
Michaels Park,2,170,95,53.480248835281365,-113.45143800846866,"(53.480248835281365, -113.45143800846866)",POINT (-113.45143800846866 53.480248835281365)
Archbishop Joseph MacNeil,1,180,90,53.46036057912474,-113.57853727920634,"(53.46036057912474, -113.57853727920634)",POINT (-113.57853727920634 53.46036057912474)
Hardisty,1,235,175,53.54756345715923,-113.42990452892866,"(53.54756345715923, -113.42990452892866)",POINT (-113.42990452892866 53.54756345715923)
Pollard Meadows,4,300,170,53.448279064002406,-113.40909776545773,"(53.448279064002406, -113.40909776545773)",POINT (-113.40909776545773 53.448279064002406)
Mary Hanley,5,270,210,53.46342298506953,-113.4025316857467,"(53.46342298506953, -113.4025316857467)",POINT (-113.4025316857467 53.46342298506953)
Centennial,2,150,90,53.494696883470915,-113.62461049353792,"(53.494696883470915, -113.62461049353792)",POINT (-113.62461049353792 53.494696883470915)
Blue Quill II,1,235,140,53.45762683066007,-113.53822516438326,"(53.45762683066007, -113.53822516438326)",POINT (-113.53822516438326 53.45762683066007)
JJ Bowlen,5,245,150,53.606123278839604,-113.43538637925599,"(53.606123278839604, -113.43538637925599)",POINT (-113.43538637925599 53.606123278839604)
Coronation,2,165,110,53.55517073835939,-113.55850462526408,"(53.55517073835939, -113.55850462526408)",POINT (-113.55850462526408 53.55517073835939)
Kirkness,1,265,145,53.612693660430715,-113.39314624007065,"(53.612693660430715, -113.39314624007065)",POINT (-113.39314624007065 53.612693660430715)
Dovercourt,3,180,100,53.57425292715259,-113.56224515437418,"(53.57425292715259, -113.56224515437418)",POINT (-113.56224515437418 53.57425292715259)
